name,state,population,county_fips,is_county
Fayette County,GA,119259,113,True
Douglas County,KS,119094,045,True
Missoula County,MT,118541,063,True
Lowndes County,GA,118257,185,True
Oswego County,NY,118037,075,True
Potter County,TX,117905,375,True
Sheboygan County,WI,117741,117,True
Robeson County,NC,117573,155,True
Flagler County,FL,117515,035,True
Wayne County,NC,117480,191,True
Jefferson County,NY,117445,045,True
Wayne County,OH,116680,169,True
Henderson County,NC,116469,089,True
Calhoun County,AL,116162,015,True
Lycoming County,PA,114022,081,True
St. Mary's County,MD,113814,037,True
Newton County,GA,113298,217,True
"Northwest Hills Planning Region, Connecticut County",CT,112696,160,True
Albemarle County,VA,112513,003,True
Ontario County,NY,112288,069,True
LaPorte County,IN,112215,091,True
Delaware County,IN,112156,035,True
Androscoggin County,ME,111532,001,True
Douglas County,OR,111322,019,True
Craighead County,AR,111038,031,True
Hardin County,KY,111005,093,True
Rockwall County,TX,110631,397,True
Cowlitz County,WA,110621,015,True
Mercer County,PA,110600,085,True
Hanover County,VA,110513,085,True
Pennington County,SD,110386,103,True
Warren County,NJ,109739,041,True
LaSalle County,IL,109495,099,True
Bartow County,GA,109410,015,True
Madison County,MS,109257,089,True
Eaton County,MI,109072,045,True
"Terrebonne Parish, Louisiana County",LA,108862,109,True
Bradley County,TN,108859,011,True
Miami County,OH,108818,109,True
St. Lawrence County,NY,108670,089,True
"Matanuska-Susitna Borough, Alaska County",AK,108661,170,True
Cass County,MO,108205,037,True
Yamhill County,OR,107674,071,True
Kankakee County,IL,107421,091,True
Carver County,MN,107216,019,True
Navajo County,AZ,107110,017,True
Houston County,AL,107040,069,True
Platte County,MO,107033,165,True
Vigo County,IN,106355,167,True
Monongalia County,WV,105988,061,True
Flathead County,MT,105950,029,True
Eau Claire County,WI,105697,035,True
Woodbury County,IA,105526,193,True
Sumter County,SC,105199,085,True
Walworth County,WI,105127,127,True
Franklin County,MO,104858,071,True
Adams County,PA,104604,001,True
Limestone County,AL,104199,083,True
Fond du Lac County,WI,104027,039,True
Cecil County,MD,103876,015,True
Wicomico County,MD,103815,045,True
Bay County,MI,103752,017,True
Macon County,IL,103542,115,True
Etowah County,AL,103348,055,True
Whitfield County,GA,103033,313,True
Daviess County,KY,102916,059,True
Tompkins County,NY,102555,109,True
Highlands County,FL,102339,055,True
Nevada County,CA,102322,057,True
Allen County,OH,102087,003,True
Maury County,TN,102002,119,True
Columbiana County,OH,101723,029,True
Hunt County,TX,101596,231,True
Craven County,NC,101098,049,True
Moore County,NC,100759,125,True
DeKalb County,IL,100686,037,True
Dallas County,IA,100367,049,True
Laramie County,WY,100316,021,True
Garland County,AR,100021,051,True
Cleveland County,NC,99527,045,True
Montgomery County,VA,99373,121,True
Lenawee County,MI,99263,091,True
"Roanoke city, Virginia County",VA,99213,770,True
Grant County,WA,99145,025,True
Sutter County,CA,99101,101,True
Dubuque County,IA,98812,061,True
Madison County,TN,98644,113,True
Story County,IA,98573,169,True
Floyd County,GA,98541,115,True
Sevier County,TN,98455,155,True
Burleigh County,ND,98443,015,True
Bastrop County,TX,98435,021,True
Putnam County,NY,97942,079,True
Marshall County,AL,97923,095,True
Sherburne County,MN,97820,141,True
Walton County,GA,97752,297,True
Ashtabula County,OH,97666,007,True
Lancaster County,SC,97611,057,True
"Portsmouth city, Virginia County",VA,97384,740,True
"Lafourche Parish, Louisiana County",LA,97220,057,True
Franklin County,WA,96692,021,True
Roanoke County,VA,96653,161,True
"Fairbanks North Star Borough, Alaska County",AK,96299,090,True
Rogers County,OK,95870,131,True
"Northeastern Connecticut Planning Region, Connecticut County",CT,95687,150,True
Benton County,OR,95615,003,True
Cape May County,NJ,95456,009,True
Geauga County,OH,95455,055,True
Grand Traverse County,MI,95315,055,True
Nash County,NC,95015,127,True
"Suffolk city, Virginia County",VA,94856,800,True
Lauderdale County,AL,94329,077,True
Cabell County,WV,93965,011,True
St. Croix County,WI,93752,109,True
Rockdale County,GA,93641,247,True
Steuben County,NY,93584,101,True
Pottawattamie County,IA,93543,155,True
Liberty County,TX,93523,291,True
Calvert County,MD,93244,009,True
Campbell County,KY,93122,037,True
Madison County,KY,92955,151,True
Tuscarawas County,OH,92840,157,True
Bowie County,TX,92747,037,True
Frederick County,VA,92007,069,True
Ozaukee County,WI,91745,089,True
St. Clair County,AL,91719,115,True
Nassau County,FL,91538,089,True
Northumberland County,PA,91340,097,True
Wayne County,NY,91324,117,True
Victoria County,TX,91209,469,True
Rockingham County,NC,91209,157,True
Mendocino County,CA,91145,045,True
Grafton County,NH,90836,009,True
Twin Falls County,ID,90592,083,True
Christian County,MO,89568,043,True
Dodge County,WI,89032,027,True
Lapeer County,MI,88687,087,True
Cullman County,AL,88284,043,True
Josephine County,OR,87994,033,True
Lincoln County,NC,87933,109,True
Burke County,NC,87799,023,True
Elmore County,AL,87694,051,True
Polk County,OR,87600,053,True
Bannock County,ID,87434,005,True
Angelina County,TX,86608,005,True
Island County,WA,86510,029,True
Muskingum County,OH,86393,119,True
Jefferson County,WI,85932,055,True
Lawrence County,PA,85907,073,True
Newport County,RI,85442,005,True
Dougherty County,GA,85038,095,True
Orange County,TX,84761,361,True
Glynn County,GA,84566,127,True
Buchanan County,MO,84544,021,True
Cascade County,MT,84423,013,True
Barrow County,GA,84399,013,True
Wood County,WV,84272,107,True
Orangeburg County,SC,84159,075,True
Rockingham County,VA,83905,165,True
Crawford County,PA,83876,039,True
Chemung County,NY,83584,015,True
Midland County,MI,83503,111,True
Howard County,IN,83452,067,True
Indiana County,PA,83394,063,True
Lee County,MS,83343,081,True
Coryell County,TX,82927,099,True
Lewis County,WA,82663,041,True
Henderson County,TX,82627,213,True
"St. Landry Parish, Louisiana County",LA,82574,097,True
Bullitt County,KY,82482,029,True
Bartholomew County,IN,82371,005,True
Wagoner County,OK,82269,145,True
Payne County,OK,82058,119,True
Leavenworth County,KS,82050,103,True
Monroe County,FL,82044,087,True
Yuba County,CA,81705,115,True
Cape Girardeau County,MO,81703,031,True
Manitowoc County,WI,81242,071,True
Talladega County,AL,81105,121,True
Caldwell County,NC,80716,027,True
Kosciusko County,IN,80442,085,True
Floyd County,IN,80191,043,True
Hancock County,IN,80170,059,True
Putnam County,TN,80157,141,True
Umatilla County,OR,79904,059,True
Clinton County,NY,79839,019,True
Bulloch County,GA,79829,031,True
Bedford County,VA,79761,019,True
Clearfield County,PA,79707,033,True
Natrona County,WY,79506,025,True
Clinton County,MI,79249,037,True
"Lynchburg city, Virginia County",VA,79166,680,True
Chelan County,WA,79076,007,True
James City County,VA,78818,095,True
Oconee County,SC,78775,073,True
Sullivan County,NY,78725,105,True
Wilson County,NC,78667,195,True
Forrest County,MS,77917,035,True
Augusta County,VA,77433,015,True
Anderson County,TN,77337,001,True
Clallam County,WA,77333,009,True
Walker County,TX,77182,471,True
White County,AR,77118,145,True
Jackson County,GA,77033,157,True
Cattaraugus County,NY,77000,009,True
Ross County,OH,76957,141,True
Cole County,MO,76890,051,True
Chatham County,NC,76754,037,True
Walton County,FL,76618,131,True
Valencia County,NM,76613,061,True
Cheshire County,NH,76610,005,True
Cayuga County,NY,76171,011,True
Grays Harbor County,WA,75672,027,True
Van Buren County,MI,75636,159,True
Erie County,OH,75299,043,True
Hancock County,OH,75072,063,True
Raleigh County,WV,74303,081,True
Lonoke County,AR,74292,085,True
Wood County,WI,74138,141,True
Vermilion County,IL,74113,183,True
Tooele County,UT,74032,045,True
Broomfield County,CO,73946,014,True
Somerset County,PA,73802,111,True
Scioto County,OH,73716,145,True
Putnam County,FL,73604,107,True
Kauai County,HI,73511,007,True
Robertson County,TN,73297,147,True
Fauquier County,VA,73290,061,True
Lea County,NM,73103,025,True
Grand Forks County,ND,72927,035,True
Christian County,KY,72766,047,True
Lauderdale County,MS,72741,075,True
Pottawatomie County,OK,72734,125,True
Riley County,KS,72105,161,True
Creek County,OK,72076,037,True
McKinley County,NM,72073,031,True
Morgan County,IN,71757,109,True
DeKalb County,AL,71680,049,True
Lewis and Clark County,MT,71487,049,True
Surry County,NC,71429,171,True
Boone County,IN,71235,011,True
Franklin County,MA,70980,011,True
Greene County,TN,70399,059,True
Portage County,WI,70281,097,True
York County,VA,70238,199,True
Wise County,TX,70062,497,True
"Iberia Parish, Louisiana County",LA,69958,045,True
Columbia County,FL,69832,023,True
Franklin County,NC,69680,069,True
Ward County,ND,69532,101,True
Troup County,GA,69527,285,True
Klamath County,OR,69506,035,True
