name,state,median_household_income,median_home_value
Vredenburgh,AL,,63800.0
Wadley,AL,25000.0,121300.0
Waldo,AL,33828.0,61900.0
Walnut Grove,AL,39049.0,135800.0
Warrior,AL,53258.0,145600.0
Waterloo,AL,38750.0,80600.0
Waverly,AL,65417.0,238900.0
Weaver,AL,81250.0,131500.0
Webb,AL,45365.0,87500.0
Wedowee,AL,36827.0,203100.0
Weogufka,AL,48950.0,154300.0
West Blocton,AL,38750.0,108300.0
West End-Cobb Town,AL,39792.0,76300.0
West Jefferson,AL,,137500.0
Westover,AL,87772.0,265600.0
West Point,AL,61417.0,200900.0
Wetumpka,AL,54477.0,172200.0
Whatley,AL,,163400.0
White Hall,AL,33571.0,68400.0
White Plains,AL,56922.0,
Whitesboro,AL,63516.0,118000.0
Wilsonville,AL,62292.0,214500.0
Wilton,AL,55000.0,135300.0
Winfield,AL,73810.0,161900.0
Woodland,AL,157907.0,413900.0
Woodstock,AL,65469.0,163800.0
Woodville,AL,53542.0,144500.0
Yellow Bluff,AL,12348.0,71400.0
York,AL,33269.0,37600.0
Adak,AK,90114.0,61700.0
Akhiok,AK,69750.0,95000.0
Akiachak,AK,30833.0,
Akiak,AK,68125.0,
Akutan,AK,28750.0,106300.0
Alakanuk,AK,41875.0,85000.0
Alatna,AK,53125.0,73300.0
Alcan Border,AK,,
Aleknagik,AK,85000.0,112500.0
Aleneva,AK,,
Allakaket,AK,25000.0,52000.0
Ambler,AK,37857.0,86700.0
Anaktuvuk Pass,AK,69028.0,117500.0
Anchorage municipality,AK,95731.0,363800.0
Anchor Point,AK,58357.0,208100.0
Anderson,AK,111250.0,162500.0
Angoon,AK,42857.0,175900.0
Aniak,AK,72500.0,239300.0
Anvik,AK,58750.0,43800.0
Arctic Village,AK,35313.0,
Atka,AK,,100000.0
Atmautluak,AK,52500.0,
Atqasuk,AK,99750.0,99200.0
Attu Station,AK,,
Badger,AK,87169.0,274600.0
Bear Creek,AK,70156.0,300000.0
Beaver,AK,36964.0,
Beluga,AK,,
Bethel,AK,100852.0,340100.0
Bettles,AK,,
Big Delta,AK,96125.0,218300.0
Big Lake,AK,77292.0,275900.0
Birch Creek,AK,,
Brevig Mission,AK,58438.0,83400.0
Buckland,AK,53819.0,76700.0
Buffalo Soapstone,AK,76563.0,273000.0
Butte,AK,102171.0,297100.0
Cantwell,AK,36500.0,213600.0
Central,AK,16379.0,
Chalkyitsik,AK,31250.0,30400.0
Chase,AK,,
Chefornak,AK,47500.0,
Chena Ridge,AK,106688.0,359000.0
Chenega,AK,58750.0,
Chevak,AK,,92500.0
Chickaloon,AK,51875.0,239400.0
Chicken,AK,,
Chignik,AK,80469.0,90000.0
Chignik Lagoon,AK,65833.0,154200.0
Chignik Lake,AK,53750.0,
Chiniak,AK,,
Chisana,AK,,
Chistochina,AK,,237500.0
Chitina,AK,,
Chuathbaluk,AK,23750.0,162500.0
Circle,AK,18750.0,94400.0
Clam Gulch,AK,90156.0,185000.0
Clark's Point,AK,23333.0,103100.0
Coffman Cove,AK,63750.0,170800.0
Cohoe,AK,60341.0,215500.0
Cold Bay,AK,117969.0,
Coldfoot,AK,,
College,AK,76052.0,275100.0
Cooper Landing,AK,148021.0,437500.0
Copper Center,AK,65556.0,151600.0
Cordova,AK,79526.0,341100.0
Covenant Life,AK,,
Craig,AK,66146.0,231100.0
Crooked Creek,AK,26875.0,
Crown Point,AK,,275000.0
Deering,AK,49375.0,108800.0
Delta Junction,AK,80556.0,260500.0
Deltana,AK,105250.0,267700.0
Denali Park,AK,86250.0,473500.0
Diamond Ridge,AK,91923.0,304300.0
Dillingham,AK,92578.0,287500.0
Diomede,AK,,9999.0
Dot Lake,AK,,
