name,state,population,is_county
Haltom City,TX,45771,False
Hackensack,NJ,45758,False
Elmhurst,IL,45648,False
Urbandale,IA,45591,False
Los Banos,CA,45560,False
Littleton,CO,45531,False
Ashburn,VA,45479,False
East Lansing,MI,45403,False
West Seneca,NY,45387,False
Bountiful,UT,45353,False
Keller,TX,45320,False
Morgan Hill,CA,45291,False
Sierra Vista,AZ,45212,False
Blacksburg,VA,45147,False
Sayreville,NJ,45136,False
Alexandria,LA,45133,False
Odenton,MD,45026,False
Cleveland Heights,OH,45002,False
Gallatin,TN,44947,False
Plainfield,IL,44941,False
Palm Springs,CA,44935,False
Riverton,UT,44864,False
West Lafayette,IN,44861,False
Brentwood,TN,44830,False
York,PA,44782,False
Cutler Bay,FL,44738,False
Lake Ridge,VA,44720,False
Whitney,NV,44720,False
Pahrump,NV,44711,False
Burlington,VT,44646,False
North Lauderdale,FL,44635,False
Fairfield,OH,44602,False
Wentzville,MO,44584,False
Salem,MA,44541,False
Fond du Lac,WI,44527,False
Rohnert Park,CA,44461,False
Mankato,MN,44444,False
Moorhead,MN,44443,False
The Colony,TX,44323,False
Saginaw,MI,44316,False
Burke,VA,44228,False
Freeport,NY,44210,False
El Centro,CA,44184,False
Shakopee,MN,44135,False
Wilkes-Barre,PA,44123,False
Lompoc,CA,44086,False
